  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
         216               6                 9                16         2         2           341           341                 0                 0             18             20
         217              10                14                19         2         4           354           356                 0                 0             10             12
         218               4                 4                 7         1         1           259           260                 0                 0              1              1
         219              12                20                20         9         9           395           395                 5                 5              8              8
         220              14                 6                16         1         2            77            81                 4                 7              1              2
         221               9                18                18         3         3          1120          1121                 0                 0             74             74
         222               5                13                15         2         2           210           211                 0                 0             19             20
         223              11                19                19        64        64          7405          7405                 1                 1             99             99
         224              71                18                18        17        17          4567          4574                 8                 8             84             84
         225               6                14                17         9        10           160           160                 0                 0              6              9
         226               4                11                16         2         2           321           321                 0                 0             23             25
         227               3                11                12        21        22           122           122                 0                 0              2              2
         228               8                 6                11         1         1           166           168                 0                 0             22             25
         229               5                 7                13        11        12           131           132                 0                 0              1              2
         230              23                 8                20         1         5           311           314                 0                 1             10             14
         231               4                 9                14         8         9           152           152                 0                 0              1              2
         232              21                 7                16        13        18           112           115                 0                 0              1              4
         233              14                20                20        19        19          2488          2489                11                11             49             49
         234               4                 6                 9         1         1           272           273                 0                 0              8              8
         235               4                12                17         2         3           296           297                 0                 0             16             16
         236              17                10                19         1         3           335           339                 0                 0             12             16
         237               4                11                15         5         5           194           195                 0                 0             14             15
         238              18                13                19         9        10           456           459                 0                 0             18             18
         239               5                10                16        13        14           104           105                 0                 0              4              5
         240               3                11                11         2         2          1085          1085                 0                 0             36             36
         241               5                18                18        37        37          2226          2226                 0                 0             27             27
         242               5                20                20        22        22          2935          2935                67                67             14             14
         243               3                13                14         1         2           317           318                 0                 0             24             24
         244               4                17                17         7         8           459           460                 0                 0             11             11
         245               4                 6                10         1         2           201           202                 0                 0             26             26
         246               8                10                18         1         3           323           325                 0                 0             14             14
         247              10                10                18         1         2           303           305                 0                 0             11             13
         248               3                10                15        13        13           119           120                 0                 0              3              3
